spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
[Installation power] Small < 7 MW (n=247),FALSE,"Incumbent vote share
(% valid votes)",173,0.08126738857943944,1.9088204188845643,-3.6600206324343065,3.822555409593185,0.9660415757970141,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=250),FALSE,"Candidacy
(pp)",229,2.269115157109664,4.3563711968396355,-6.269372388696021,10.80760270291535,0.602461563111651,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=250),FALSE,"Reelection
(pp)",243,3.439212304994193,4.510479354724886,-5.401327230266583,12.279751840254969,0.4457745875707928,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=250),FALSE,"Winner vote share
(% valid votes)",250,-0.1734887409455659,0.9798713841335345,-2.0940366538472936,1.7470591719561617,0.8594687709558543,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=250),FALSE,"Abstention
(% registered)",250,0.4903407411778352,0.435799366889842,-0.36382601792625513,1.3445075002819256,0.2605369952429237,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=250),FALSE,"Incumbent vote share
(% valid votes)",182,0.811311389802261,1.5507460691620447,-2.2281509057553466,3.8507736853598686,0.6008659595840959,FALSE,p >= 0.05
[Competitiveness] Competitive (n=222),FALSE,"Candidacy
(pp)",206,1.8339100425197166,4.190686675224255,-6.379835840919823,10.047655925959257,0.6616745805808126,FALSE,p >= 0.05
[Competitiveness] Competitive (n=222),FALSE,"Reelection
(pp)",219,-1.0450700927313261,4.098722077800318,-9.078565365219948,6.9884251797572965,0.7987478475431825,FALSE,p >= 0.05
[Competitiveness] Competitive (n=222),FALSE,"Winner vote share
(% valid votes)",222,0.3214055019403035,0.9237089991246069,-1.489064136343926,2.1318751402245333,0.7278834751755336,FALSE,p >= 0.05
[Competitiveness] Competitive (n=222),FALSE,"Abstention
(% registered)",222,1.4144960515315148,0.5197929066052424,0.3957019545852398,2.4332901484777896,0.0065132083494653025,TRUE,p < 0.05
[Competitiveness] Competitive (n=222),FALSE,"Incumbent vote share
(% valid votes)",166,0.30968247245392777,1.4039975229004915,-2.4421526724310354,3.0615176173388914,0.8254341644654528,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=275),FALSE,"Candidacy
(pp)",248,-2.4581636170371284,4.6937662368881,-11.657945441337805,6.741618207263549,0.6004942376877511,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=275),FALSE,"Reelection
(pp)",263,0.4726900059749519,4.866598039946271,-9.065842152319739,10.011222164269643,0.9226256267136705,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=275),FALSE,"Winner vote share
(% valid votes)",275,-2.063135235162074,1.0122479386982466,-4.047141195010638,-0.07912927531351088,0.04155778170948327,TRUE,p < 0.05
[Competitiveness] Non-competitive (n=275),FALSE,"Abstention
(% registered)",275,-0.4493614875067102,0.41909080277002875,-1.2707794609359666,0.3720564859225462,0.28364166659522033,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=275),FALSE,"Incumbent vote share
(% valid votes)",189,-0.31981508883767906,2.0066830517827516,-4.252913870331872,3.613283692656514,0.8733828651243218,FALSE,p >= 0.05
