Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Abstention (% registered),Competitiveness,Competitive,222,1.41,0.52,0.4,2.43,0.007,TRUE
Abstention (% registered),Competitiveness,Non-competitive,275,-0.45,0.42,-1.27,0.37,0.284,FALSE
Candidate turnover (%),Milestones,Application filed,571,0,NA,NA,NA,NA,NA
Candidate turnover (%),Cohorts,B 2014-2020,621,-0.39,1.1,-2.55,1.76,0.721,FALSE
Candidate turnover (%),Cohorts,C 2020-2026,326,0.28,1.33,-2.32,2.88,0.832,FALSE
Incumbent vote share (% valid votes),Reference,Reference (Full Cohort A),355,0.46,1.23,-1.95,2.87,0.706,FALSE
Incumbent vote share (% valid votes),Milestones,Application filed,464,0.67,0.96,-1.21,2.55,0.485,FALSE
Incumbent vote share (% valid votes),Milestones,Authorization granted,465,1.03,0.97,-0.87,2.92,0.288,FALSE
Incumbent vote share (% valid votes),Milestones,Commissioning,355,0.46,1.23,-1.95,2.87,0.706,FALSE
Incumbent vote share (% valid votes),Regions,Brittany,30,-0.75,4.73,-10.02,8.52,0.874,FALSE
Incumbent vote share (% valid votes),Regions,Grand Est,104,2.53,1.96,-1.31,6.38,0.197,FALSE
Incumbent vote share (% valid votes),Regions,Hauts-de-France,93,-0.36,2.22,-4.71,4,0.872,FALSE
Incumbent vote share (% valid votes),Regions,Normandy,20,-8.89,6.36,-21.37,3.58,0.163,FALSE
Incumbent vote share (% valid votes),Regions,Other regions,108,-0.18,2.56,-5.19,4.83,0.944,FALSE
Incumbent vote share (% valid votes),Electoral system,Plurality/individual,352,0.51,1.23,-1.9,2.92,0.679,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2008,141,4.35,4.18,-3.85,12.54,0.299,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2014,26,-0.36,4.9,-9.95,9.24,0.942,FALSE
Incumbent vote share (% valid votes),Mayor stability,Same mayor 2008-2014,188,0.18,0.99,-1.76,2.12,0.854,FALSE
Incumbent vote share (% valid votes),Municipality size,"< 1,000 registered voters",320,1.05,1.14,-1.18,3.29,0.356,FALSE
Incumbent vote share (% valid votes),Municipality size,">= 1,000 registered voters",35,-6.67,7.5,-21.38,8.03,0.374,FALSE
Incumbent vote share (% valid votes),Installation power,Large >= 7 MW,182,0.81,1.55,-2.23,3.85,0.601,FALSE
Incumbent vote share (% valid votes),Installation power,Small < 7 MW,173,0.08,1.91,-3.66,3.82,0.966,FALSE
Incumbent vote share (% valid votes),Cohorts,B 2014-2020,429,1.65,1.31,-0.92,4.22,0.208,FALSE
Incumbent vote share (% valid votes),Cohorts,C 2020-2026,156,0.85,2.02,-3.11,4.82,0.673,FALSE
Incumbent vote share (% valid votes),Competitiveness,Competitive,166,0.31,1.4,-2.44,3.06,0.825,FALSE
Incumbent vote share (% valid votes),Competitiveness,Non-competitive,189,-0.32,2.01,-4.25,3.61,0.873,FALSE
