Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Abstention (% registered),Regions,Brittany,24,0.74,2,-3.19,4.66,0.713,FALSE
Abstention (% registered),Regions,Grand Est,98,-3.04,1.13,-5.26,-0.82,0.007,TRUE
Abstention (% registered),Regions,Hauts-de-France,233,-0.85,0.75,-2.31,0.61,0.255,FALSE
Abstention (% registered),Regions,Normandy,35,-2.27,2,-6.19,1.66,0.258,FALSE
Abstention (% registered),Regions,Other regions,254,-0.33,0.59,-1.48,0.82,0.577,FALSE
Abstention (% registered),Electoral system,List ballot,90,0.8,1.13,-1.42,3.02,0.479,FALSE
Abstention (% registered),Electoral system,Plurality/individual,554,-1.02,0.45,-1.9,-0.13,0.024,TRUE
Abstention (% registered),Mayor stability,Mayor turnover 2014,239,-1.43,0.72,-2.84,-0.03,0.045,TRUE
Abstention (% registered),Mayor stability,Mayor turnover 2020,163,-1.47,0.78,-3,0.05,0.059,FALSE
Abstention (% registered),Mayor stability,Same mayor 2014-2020,219,0.32,0.71,-1.07,1.7,0.656,FALSE
Abstention (% registered),Municipality size,"< 1,000 registered voters",582,-0.88,0.45,-1.75,-0,0.049,TRUE
Abstention (% registered),Municipality size,">= 1,000 registered voters",62,0.42,1.25,-2.03,2.87,0.736,FALSE
Abstention (% registered),Installation power,Large >= 8 MW,335,-0.88,0.56,-1.98,0.23,0.12,FALSE
Abstention (% registered),Installation power,Small < 8 MW,309,-0.86,0.6,-2.04,0.33,0.156,FALSE
Abstention (% registered),Cohorts,A 2008-2014,489,0.77,0.33,0.12,1.43,0.021,TRUE
Abstention (% registered),Cohorts,C 2020-2026,356,0.02,0.59,-1.13,1.17,0.972,FALSE
Abstention (% registered),Competitiveness,Competitive,164,-0.74,0.88,-2.47,0.98,0.398,FALSE
Abstention (% registered),Competitiveness,Non-competitive,480,-0.97,0.47,-1.9,-0.04,0.041,TRUE
Abstention (% registered),Income,High,289,-1.18,0.62,-2.39,0.03,0.055,FALSE
Abstention (% registered),Income,Low,287,0.42,0.61,-0.77,1.61,0.49,FALSE
Candidate turnover (%),Reference,Reference (Full Cohort B),628,0.69,1.12,-1.5,2.88,0.538,FALSE
Candidate turnover (%),Milestones,Application filed,555,-1.29,0.96,-3.18,0.59,0.179,FALSE
Candidate turnover (%),Milestones,Authorization granted,628,-1.72,1.08,-3.85,0.4,0.112,FALSE
Candidate turnover (%),Milestones,Commissioning,628,0.69,1.12,-1.5,2.88,0.538,FALSE
Candidate turnover (%),Regions,Brittany,21,2.57,6.08,-9.36,14.49,0.673,FALSE
Candidate turnover (%),Regions,Grand Est,93,2.15,3.04,-3.81,8.11,0.48,FALSE
Candidate turnover (%),Regions,Hauts-de-France,228,2.07,1.78,-1.41,5.55,0.244,FALSE
Candidate turnover (%),Regions,Normandy,35,-4.27,4.33,-12.76,4.22,0.325,FALSE
Candidate turnover (%),Regions,Other regions,251,-0.12,1.85,-3.74,3.5,0.948,FALSE
Candidate turnover (%),Electoral system,List ballot,75,1.84,4.76,-7.49,11.18,0.699,FALSE
Candidate turnover (%),Electoral system,Plurality/individual,553,0.57,1.15,-1.68,2.82,0.621,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2014,231,0.3,1.78,-3.19,3.79,0.868,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2020,160,-0.33,2.25,-4.73,4.07,0.882,FALSE
Candidate turnover (%),Mayor stability,Same mayor 2014-2020,214,0.18,1.71,-3.16,3.52,0.917,FALSE
Candidate turnover (%),Municipality size,"< 1,000 registered voters",577,0.76,1.12,-1.43,2.96,0.495,FALSE
Candidate turnover (%),Municipality size,">= 1,000 registered voters",51,-17.46,17.26,-51.3,16.38,0.318,FALSE
Candidate turnover (%),Installation power,Large >= 8 MW,327,1.8,1.53,-1.2,4.79,0.239,FALSE
Candidate turnover (%),Installation power,Small < 8 MW,301,-0.45,1.58,-3.55,2.66,0.778,FALSE
Candidate turnover (%),Cohorts,A 2008-2014,403,0,NA,NA,NA,NA,NA
Candidate turnover (%),Cohorts,C 2020-2026,350,-0.34,1.28,-2.85,2.18,0.792,FALSE
Candidate turnover (%),Competitiveness,Competitive,161,-0.71,2.25,-5.12,3.7,0.752,FALSE
Candidate turnover (%),Competitiveness,Non-competitive,467,1.38,1.27,-1.12,3.87,0.28,FALSE
Candidate turnover (%),Income,High,284,-1.6,1.57,-4.68,1.49,0.31,FALSE
Candidate turnover (%),Income,Low,276,2.47,1.68,-0.82,5.76,0.141,FALSE
Incumbent vote share (% valid votes),Reference,Reference (Full Cohort B),434,1.49,1.34,-1.13,4.11,0.264,FALSE
Incumbent vote share (% valid votes),Milestones,Application filed,383,-0.21,1.02,-2.22,1.79,0.835,FALSE
Incumbent vote share (% valid votes),Milestones,Authorization granted,428,0.27,1.22,-2.12,2.65,0.827,FALSE
Incumbent vote share (% valid votes),Milestones,Commissioning,434,1.49,1.34,-1.13,4.11,0.264,FALSE
Incumbent vote share (% valid votes),Regions,Brittany,12,2.61,12.5,-21.89,27.11,0.835,FALSE
Incumbent vote share (% valid votes),Regions,Grand Est,76,-1.64,2.12,-5.79,2.5,0.437,FALSE
Incumbent vote share (% valid votes),Regions,Hauts-de-France,157,3.08,2.17,-1.17,7.34,0.156,FALSE
Incumbent vote share (% valid votes),Regions,Normandy,23,-2.47,6.41,-15.04,10.1,0.701,FALSE
Incumbent vote share (% valid votes),Regions,Other regions,166,1.51,2.29,-2.99,6,0.511,FALSE
Incumbent vote share (% valid votes),Electoral system,List ballot,54,2.08,4.28,-6.31,10.47,0.627,FALSE
Incumbent vote share (% valid votes),Electoral system,Plurality/individual,380,1.51,1.4,-1.24,4.27,0.282,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2014,181,3.18,4.21,-5.08,11.44,0.451,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2020,28,3.42,3.93,-4.27,11.12,0.384,FALSE
Incumbent vote share (% valid votes),Mayor stability,Same mayor 2014-2020,219,0.67,1.08,-1.45,2.79,0.536,FALSE
Incumbent vote share (% valid votes),Municipality size,"< 1,000 registered voters",399,1.8,1.38,-0.91,4.5,0.193,FALSE
Incumbent vote share (% valid votes),Municipality size,">= 1,000 registered voters",35,-1.05,5.26,-11.36,9.25,0.841,FALSE
Incumbent vote share (% valid votes),Installation power,Large >= 8 MW,222,3.06,1.93,-0.72,6.85,0.113,FALSE
Incumbent vote share (% valid votes),Installation power,Small < 8 MW,212,-0.17,1.75,-3.6,3.27,0.925,FALSE
Incumbent vote share (% valid votes),Cohorts,A 2008-2014,351,0.12,1.28,-2.38,2.62,0.926,FALSE
Incumbent vote share (% valid votes),Cohorts,C 2020-2026,166,-0.2,1.88,-3.88,3.49,0.917,FALSE
Incumbent vote share (% valid votes),Competitiveness,Competitive,110,0.5,3.23,-5.84,6.83,0.877,FALSE
Incumbent vote share (% valid votes),Competitiveness,Non-competitive,324,0.89,1.37,-1.79,3.57,0.516,FALSE
Incumbent vote share (% valid votes),Income,High,186,1.46,2.13,-2.72,5.63,0.495,FALSE
Incumbent vote share (% valid votes),Income,Low,199,1.53,1.97,-2.33,5.39,0.437,FALSE
