spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
[Electoral system] List ballot (n=10),FALSE,"Winner vote share
(% valid votes)",10,5.652241523896036,6.347743349171322,-6.789335440479755,18.09381848827183,0.3750923751473594,FALSE,p >= 0.05
[Electoral system] List ballot (n=10),FALSE,"Abstention
(% registered)",10,-0.11807069454346458,1.9383078855671307,-3.9171541502550404,3.6810127611681116,0.9515331866454559,FALSE,p >= 0.05
[Stability] Same mayor 2008-2014 (n=184),FALSE,"Winner vote share
(% valid votes)",184,0.015595928943858028,1.014411958776811,-1.9726515102586915,2.0038433681464074,0.9877346376961589,FALSE,p >= 0.05
[Stability] Same mayor 2008-2014 (n=184),FALSE,"Abstention
(% registered)",184,0.9508799616304806,0.5494171094611546,-0.12597757291338252,2.0277374961743435,0.08361615359267857,FALSE,p >= 0.05
[Stability] Same mayor 2008-2014 (n=184),FALSE,"Incumbent vote share
(% valid votes)",184,0.015595928943858028,1.014411958776811,-1.9726515102586915,2.0038433681464074,0.9877346376961589,FALSE,p >= 0.05
[Stability] Mayor turnover 2008 (n=176),FALSE,"Candidacy
(pp)",170,0.9861496253515624,4.247524755521479,-7.338998895470534,9.311298146173659,0.8164231461950315,FALSE,p >= 0.05
[Stability] Mayor turnover 2008 (n=176),FALSE,"Reelection
(pp)",176,3.4197532887225126,3.5072117059560233,-3.454381654951293,10.293888232396318,0.3296078109012959,FALSE,p >= 0.05
[Stability] Mayor turnover 2008 (n=176),FALSE,"Winner vote share
(% valid votes)",176,0.3839503863669096,1.312222795054549,-2.1880062919400065,2.9559070646738257,0.7698510435652123,FALSE,p >= 0.05
[Stability] Mayor turnover 2008 (n=176),FALSE,"Abstention
(% registered)",176,0.8802158339653261,0.526231623373695,-0.15119814784711605,1.9116298157777682,0.0944918876945706,FALSE,p >= 0.05
[Stability] Mayor turnover 2008 (n=176),FALSE,"Candidate turnover
(%)",141,0,NA,NA,NA,NA,NA,NA
[Stability] Mayor turnover 2008 (n=176),FALSE,"Incumbent vote share
(% valid votes)",141,4.858900515861977,4.3461494925340975,-3.659552489504854,13.377353521228809,0.26449838625766353,FALSE,p >= 0.05
[Stability] Mayor turnover 2014 (n=112),FALSE,"Candidacy
(pp)",111,3.808833722266519,4.231930867324641,-4.485750777689777,12.103418222222814,0.36822140764370437,FALSE,p >= 0.05
[Stability] Mayor turnover 2014 (n=112),FALSE,"Reelection
(pp)",112,0,NA,NA,NA,NA,NA,NA
