id_poste_livraison,id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,x_poste_livraison,y_poste_livraison,epsg,etat_parc,statut_parc,date_maj
0005107269_PL1,0005107269,EDP Renewables France,02519,MONTLOUE,02,32,775616.2,6.9534685e+06,2154,En exploitation,Autorisé,2022-10-21 00:00:00
0003800461_PL4,0003800461,PE DES QUINTEFEUILLES,62192,CAGNICOURT,62,32,699109.94,7.0113925e+06,2154,En exploitation,Autorisé,2025-04-25 00:00:00
0005107409_PL1,0005107409,PARC EOLIEN BORALEX CHEPY SAS,80190,CHEPY,80,32,601912.1,6.997385e+06,2154,En exploitation,Autorisé,2024-10-14 00:00:00
0003014607_PL2,0003014607,Parc éolien de Nuisement et Cheniers,51146,CHENIERS,51,44,793084,6.865322e+06,2154,En attente de construction,Autorisé,2025-02-18 00:00:00
0003300424_PL3,0003300424,ENERGIES DU PLATEAU CENTRAL,25492,RILLANS,25,27,955033.3,6.704667e+06,2154,En exploitation,Autorisé,2026-01-20 08:44:27.175
0005704330_PL3,0005704330,Parc éolien de Mont Gimont,52284,LESCHERES SUR LE BLAISERON,52,44,851992,6.803203e+06,2154,En exploitation,Autorisé,2023-03-27 00:00:00
0005602701_PL1,0005602701,SEPE TALIZAT REZENTIERES II,15161,REZENTIERES,15,84,704601.3,6.4483245e+06,2154,En exploitation,Autorisé,2023-09-07 00:00:00
0100057797_PL4,0100057797,Parc éolien de Savoisy - Fontaines les Sèches,21594,SAVOISY,21,27,804317.9,6.7410585e+06,2154,,En instruction,2024-10-25 00:00:00
0007006156_PL2,0007006156,Parc éolien du Rio,62093,BEAULENCOURT,62,32,689617.1,6.9967525e+06,2154,En exploitation,Autorisé,2022-12-19 00:00:00
0005704129_PL2,0005704129,Prévoterie et extension,10132,DROUPT STE MARIE,10,44,772596,6.822395e+06,2154,En exploitation,Autorisé,2023-03-29 00:00:00
0003013101_PL2,0003013101,SPENPB,55044,BELRAIN,55,44,868829,6.867041e+06,2154,En attente de construction,Autorisé,2025-03-21 00:00:00
0003801112_PL3,0003801112,PE DU SUD ARTOIS,62840,VELU,62,32,697240.8,6.998334e+06,2154,En attente de construction,Autorisé,2023-09-13 00:00:00
0003800318_PL3,0003800318,COEUR DE PICARDIE,60278,GOLANCOURT,60,32,707250,6.95642e+06,2154,,En instruction,2023-10-16 00:00:00
0003800250_PL1,0003800250,LE CROCQ,80205,CONDE-FOLIE,80,32,628356.1,6.9883555e+06,2154,En exploitation,Autorisé,2025-01-20 00:00:00
0100002880_PL2,0100002880,Renouvellement Ally Mercoeur,43133,MERCOEUR,43,84,722363.25,6.4514095e+06,2154,En attente de construction,Autorisé,2026-01-22 14:05:33.307
0003012007_PL2,0003012007,Ferme eolienne de la Hotte,08372,RUBIGNY,08,44,784842,6.95431e+06,2154,En exploitation,Autorisé,2024-10-23 00:00:00
0005704394_PL1,0005704394,PARC EOLIEN DES COTES DE CHAMPAGNE SUD,51325,LISSE EN CHAMPAGNE,51,44,819922,6.859388e+06,2154,En exploitation,Autorisé,2023-03-23 00:00:00
0100000000_PL1,0100000000,parc éolien COTE RENARD,89393,SERRIGNY,89,27,766903,6.749435e+06,2154,,En instruction,2022-11-14 00:00:00
0005905593_PL2,0005905593,COL DE FERRIERE SAS,25177,CROSEY LE GRAND,25,27,968046.5,6.701517e+06,2154,En exploitation,Autorisé,2023-02-27 00:00:00
0007006139_PL2,0007006139,Mont de Bagny,59118,BUSIGNY,59,32,733990.56,6.9952205e+06,2154,En exploitation,Autorisé,2023-09-15 00:00:00
0100002610_PL2,0100002610,PARC EOLIEN DES GRANDES BORNES,52544,VOISEY,52,44,908055.25,6.7592305e+06,2154,,En instruction,2022-10-24 00:00:00
0005403221_PL1,0005403221,PARC EOLIEN DE CLAMECY,58079,CLAMECY,58,27,736258,6.707716e+06,2154,En exploitation,Autorisé,2025-08-19 00:00:00
0003014094_PL1,0003014094,Parc éolien Petite Montagne,55175,ERIZE LA BRULEE,55,44,868810,6.863697e+06,2154,En attente de construction,Autorisé,2025-03-21 00:00:00
0003014428_PL2,0003014428,Parc éolien de Fromentières,51263,FROMENTIERES,51,44,750157,6.865374e+06,2154,En construction,Autorisé,2025-02-18 00:00:00
0003801652_PL1,0003801652,SAS Extension du parc des Nouvions,02560,NOUVION-LE-COMTE,02,32,732830,6.957321e+06,2154,En exploitation,Autorisé,2025-09-03 00:00:00
0005107446_PL2,0005107446,Goudelancourt Eolien,02350,GOUDELANCOURT LES PIERREPONT,02,32,761356.56,6.9559915e+06,2154,En exploitation,Autorisé,2025-02-20 00:00:00
0005107732_PL2,0005107732,MIROIR 1 & 2,80706,ST LEGER LES DOMART,80,32,636317,6.994798e+06,2154,En exploitation,Autorisé,2023-03-24 00:00:00
0005704277_PL3,0005704277,PARC EOLIEN AUBE 1,10368,SAVIERES,10,44,769656.8,6.808034e+06,2154,En exploitation,Autorisé,2023-05-11 00:00:00
0005704598_PL6,0005704598,Sud Marne,51276,GOURGANCON,51,44,770700.9,6.841864e+06,2154,En exploitation,Autorisé,2023-05-24 00:00:00
0006307478_PL1,0006307478,Ferme eolienne la Roche,53016,BAIS,53,52,449726,6.802184e+06,2154,En exploitation,Autorisé,2025-05-19 00:00:00
0005107378_PL1,0005107378,PARC EOLIEN VOYENNES ENERGIES,80811,VOYENNES,80,32,698666.1,6.9623085e+06,2154,En exploitation,Autorisé,2022-12-12 00:00:00
0006209371_PL1,0006209371,RENOUVELLEMENT DU PARC EOLIEN DE COURCELLES/AIRE,55128,COURCELLES SUR AIRE,55,44,862771,6.875298e+06,2154,,En instruction,2022-10-20 00:00:00
0100028235_PL1,0100028235,REPOWERING LA CITADELLE,07204,ST AGREVE,07,84,813813.9,6.4310205e+06,2154,,En instruction,2023-08-31 00:00:00
0007209384_PL1,0007209384,SAS Eole 79,79255,ST GERMAIN DE LONGUE CHAUME,79,75,443740.28,6.628312e+06,2154,En exploitation,Autorisé,2022-11-22 00:00:00
0006523199_PL1,0006523199,SARL GATINAIS III,77009,ARVILLE,77,11,667856.44,6.785205e+06,2154,En attente de construction,Autorisé,2023-02-20 00:00:00
0003014094_PL2,0003014094,Parc éolien Petite Montagne,55044,BELRAIN,55,44,868814,6.863686e+06,2154,En attente de construction,Autorisé,2025-03-21 00:00:00
