Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Abstention (% registered),Mayor stability,Same mayor 2014-2020,219,0.69,0.69,-0.67,2.05,0.319,FALSE
Abstention (% registered),Municipality size,"< 1,000 registered voters",576,-0.45,0.44,-1.31,0.41,0.305,FALSE
Abstention (% registered),Municipality size,">= 1,000 registered voters",61,0.07,1.24,-2.36,2.49,0.957,FALSE
Abstention (% registered),Installation power,Large >= 8 MW,331,-0.43,0.56,-1.53,0.67,0.445,FALSE
Abstention (% registered),Installation power,Small < 8 MW,306,-0.4,0.6,-1.58,0.78,0.51,FALSE
Abstention (% registered),Cohorts,A 2008-2014,497,0.57,0.33,-0.07,1.22,0.081,FALSE
Abstention (% registered),Cohorts,C 2020-2026,332,0.98,0.61,-0.21,2.18,0.107,FALSE
Abstention (% registered),Competitiveness,Competitive,161,-0.9,0.87,-2.6,0.8,0.297,FALSE
Abstention (% registered),Competitiveness,Non-competitive,476,-0.38,0.47,-1.29,0.54,0.419,FALSE
Abstention (% registered),Income,High,285,-1.1,0.61,-2.3,0.09,0.071,FALSE
Abstention (% registered),Income,Low,284,1.15,0.6,-0.03,2.33,0.055,FALSE
Candidate turnover (%),Reference,Reference (Full Cohort B),621,-0.42,1.1,-2.57,1.74,0.705,FALSE
Candidate turnover (%),Milestones,Application filed,573,-1.88,0.85,-3.55,-0.2,0.028,TRUE
Candidate turnover (%),Milestones,Authorization granted,618,-2.15,1.02,-4.15,-0.15,0.035,TRUE
Candidate turnover (%),Milestones,Commissioning,621,-0.42,1.1,-2.57,1.74,0.705,FALSE
Candidate turnover (%),Regions,Brittany,21,2.76,6.03,-9.06,14.59,0.647,FALSE
Candidate turnover (%),Regions,Grand Est,94,0.38,2.99,-5.47,6.24,0.898,FALSE
Candidate turnover (%),Regions,Hauts-de-France,225,1.3,1.77,-2.17,4.77,0.462,FALSE
Candidate turnover (%),Regions,Normandy,35,-3.5,4.24,-11.81,4.8,0.408,FALSE
Candidate turnover (%),Regions,Other regions,246,-0.24,1.82,-3.81,3.33,0.896,FALSE
Candidate turnover (%),Electoral system,List ballot,71,-1.88,4.43,-10.57,6.81,0.671,FALSE
Candidate turnover (%),Electoral system,Plurality/individual,550,-0.33,1.13,-2.54,1.89,0.773,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2014,227,-0.44,1.75,-3.88,3,0.802,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2020,159,-1.23,2.14,-5.42,2.95,0.563,FALSE
Candidate turnover (%),Mayor stability,Same mayor 2014-2020,214,-1.06,1.69,-4.37,2.25,0.53,FALSE
Candidate turnover (%),Municipality size,"< 1,000 registered voters",571,-0.33,1.1,-2.49,1.82,0.763,FALSE
Candidate turnover (%),Municipality size,">= 1,000 registered voters",50,-19.43,16.25,-51.28,12.42,0.233,FALSE
Candidate turnover (%),Installation power,Large >= 8 MW,323,1.19,1.51,-1.78,4.16,0.433,FALSE
Candidate turnover (%),Installation power,Small < 8 MW,298,-2.05,1.57,-5.12,1.02,0.191,FALSE
Candidate turnover (%),Cohorts,C 2020-2026,326,0.36,1.33,-2.24,2.96,0.786,FALSE
Candidate turnover (%),Competitiveness,Competitive,158,-0.11,2.19,-4.4,4.17,0.959,FALSE
Candidate turnover (%),Competitiveness,Non-competitive,463,-0.09,1.25,-2.55,2.37,0.942,FALSE
Candidate turnover (%),Income,High,279,-1.96,1.57,-5.05,1.12,0.212,FALSE
Candidate turnover (%),Income,Low,274,2.55,1.63,-0.65,5.75,0.118,FALSE
Incumbent vote share (% valid votes),Reference,Reference (Full Cohort B),429,1.6,1.31,-0.97,4.17,0.222,FALSE
Incumbent vote share (% valid votes),Milestones,Application filed,401,-0.11,0.89,-1.84,1.63,0.905,FALSE
Incumbent vote share (% valid votes),Milestones,Authorization granted,422,0.29,1.14,-1.93,2.52,0.797,FALSE
Incumbent vote share (% valid votes),Milestones,Commissioning,429,1.6,1.31,-0.97,4.17,0.222,FALSE
Incumbent vote share (% valid votes),Regions,Brittany,12,3.03,12.49,-21.45,27.52,0.808,FALSE
Incumbent vote share (% valid votes),Regions,Grand Est,76,-1.24,2.02,-5.2,2.72,0.54,FALSE
Incumbent vote share (% valid votes),Regions,Hauts-de-France,156,3.42,2.17,-0.84,7.68,0.116,FALSE
Incumbent vote share (% valid votes),Regions,Normandy,23,-1.74,6.24,-13.97,10.5,0.781,FALSE
Incumbent vote share (% valid votes),Regions,Other regions,162,1.69,2.29,-2.79,6.17,0.459,FALSE
Incumbent vote share (% valid votes),Electoral system,List ballot,51,1.92,4.5,-6.9,10.75,0.669,FALSE
Incumbent vote share (% valid votes),Electoral system,Plurality/individual,378,1.54,1.36,-1.13,4.22,0.258,FALSE
