Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Abstention (% registered),Regions,Grand Est,40,-1.58,1.89,-5.27,2.12,0.404,FALSE
Abstention (% registered),Regions,Hauts-de-France,108,0.37,1.11,-1.79,2.54,0.737,FALSE
Abstention (% registered),Regions,Normandy,28,-1.02,2.79,-6.49,4.46,0.715,FALSE
Abstention (% registered),Regions,Other regions,155,0.32,0.8,-1.24,1.89,0.688,FALSE
Abstention (% registered),Electoral system,List ballot,69,-0.1,1.07,-2.2,2,0.927,FALSE
Abstention (% registered),Electoral system,Plurality/individual,287,0.07,0.68,-1.26,1.4,0.917,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2020,124,0.12,0.94,-1.71,1.96,0.895,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2026,103,-0.13,1.13,-2.34,2.08,0.91,FALSE
Abstention (% registered),Mayor stability,Same mayor 2020-2026,95,-0.98,1.11,-3.14,1.19,0.378,FALSE
Abstention (% registered),Municipality size,"< 1,000 registered voters",311,-0.11,0.65,-1.38,1.16,0.867,FALSE
Abstention (% registered),Municipality size,">= 1,000 registered voters",45,0.72,1.22,-1.67,3.11,0.554,FALSE
Abstention (% registered),Installation power,Large >= 9 MW,178,0.43,0.85,-1.23,2.09,0.613,FALSE
Abstention (% registered),Installation power,Small < 9 MW,178,-0.4,0.79,-1.95,1.16,0.618,FALSE
Abstention (% registered),Cohorts,A 2008-2014,489,0.77,0.33,0.12,1.43,0.021,TRUE
Abstention (% registered),Cohorts,B 2014-2020,644,-0.86,0.42,-1.68,-0.04,0.04,TRUE
Abstention (% registered),Competitiveness,Competitive,70,0.17,1.39,-2.56,2.9,0.903,FALSE
Abstention (% registered),Competitiveness,Non-competitive,286,-0.03,0.62,-1.26,1.19,0.957,FALSE
Abstention (% registered),Income,High,166,0.71,0.82,-0.89,2.31,0.384,FALSE
Abstention (% registered),Income,Low,166,-0.5,0.88,-2.22,1.22,0.569,FALSE
Candidate turnover (%),Reference,Reference (Full Cohort C),350,-0.34,1.28,-2.85,2.18,0.792,FALSE
Candidate turnover (%),Milestones,Application filed,340,0.36,0.91,-1.43,2.15,0.692,FALSE
Candidate turnover (%),Milestones,Authorization granted,281,0.18,1.04,-1.87,2.22,0.863,FALSE
Candidate turnover (%),Milestones,Commissioning,350,-0.34,1.28,-2.85,2.18,0.792,FALSE
Candidate turnover (%),Regions,Brittany,23,-4.15,3.88,-11.75,3.44,0.284,FALSE
Candidate turnover (%),Regions,Grand Est,40,0.08,3.81,-7.4,7.55,0.984,FALSE
Candidate turnover (%),Regions,Hauts-de-France,106,1.64,2.72,-3.68,6.97,0.546,FALSE
Candidate turnover (%),Regions,Normandy,28,8.05,4.13,-0.05,16.15,0.052,FALSE
Candidate turnover (%),Regions,Other regions,153,-2.83,1.75,-6.26,0.61,0.107,FALSE
Candidate turnover (%),Electoral system,List ballot,66,-1.4,2.62,-6.54,3.73,0.592,FALSE
Candidate turnover (%),Electoral system,Plurality/individual,284,-0.06,1.45,-2.91,2.78,0.965,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2020,123,0.43,1.96,-3.4,4.27,0.825,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2026,103,2.02,2.43,-2.74,6.77,0.406,FALSE
Candidate turnover (%),Mayor stability,Same mayor 2020-2026,95,-0.69,2.1,-4.81,3.43,0.743,FALSE
