code_insee,invest_sd
01449,3367672.18
01450,21092988.51
01451,59679086.019999996
01452,7616920.43
01453,4163275.92
01454,7187753.46
01456,987171.79
01457,25688429.34
02001,2614011.42
02002,2025270.0
02003,6461620.43
02004,788699.55
02005,1845159.78
02006,1126326.73
02007,598980.3300000001
02008,1008410.36
02009,4842545.52
02010,836294.35
02011,3562230.37
02012,549259.62
02013,1060858.8299999998
02014,2925328.61
02015,486301.78
02016,824857.88
02017,1164598.23
02018,15715650.72
02019,1732418.37
02020,2663012.4
02021,824977.92
02022,1394637.8800000001
02023,295472.98
02024,653268.1499999999
02025,2189406.31
02026,1663751.59
02027,1042584.09
02028,12356349.49
02029,1326869.25
02030,1178260.48
02031,6231652.649999999
02032,1354008.18
02033,742215.75
02034,327537.5
02035,1040662.17
02036,536658.66
02037,7957175.73
02038,506520.74
02039,938937.28
02040,1809258.7100000002
02041,3472296.0300000003
02042,1060825.36
02043,297330.37
02044,644358.7100000001
02046,2568147.07
02047,856439.3200000001
02048,785814.14
02049,2967346.54
02050,661873.9500000001
02051,1998865.38
02052,730130.88
02053,2317664.68
02054,1574666.1099999999
02055,1253662.49
02056,1354572.01
02057,7001262.1
02058,2885633.88
02059,22336176.97
02060,1662758.65
02061,1567334.96
02062,670131.4
02063,1436292.99
02064,20513873.1
02065,2671474.93
02066,783862.72
02067,821912.01
02068,404175.95
02069,482636.24
02070,1891691.8900000001
02071,3308316.2399999998
02072,1040847.24
02073,2400190.69
02074,1424684.01
02075,438051.07
02076,346946.61
02077,1744745.71
02078,501924.12999999995
02079,714245.86
02080,3072434.32
02081,2199676.81
02082,602458.34
02083,2844209.79
02084,1621308.16
02085,3264540.78
02086,3725778.04
02087,302810.42
02088,700618.04
02089,5109205.52
02090,1307825.77
02091,341954.61
02093,7249556.84
02094,1458825.16
02095,32619978.31
02096,881301.92
02097,1098993.06
02098,1555254.17
02099,461819.67000000004
02100,790739.13
02101,760214.5599999999
02102,1037565.7100000001
02103,9788679.03
02104,381859.07
02105,717293.67
02106,3354551.85
02107,523765.91000000003
02108,428144.77999999997
02109,1711048.63
02110,17545594.28
02111,2811150.3200000003
02112,2205800.33
02114,13328420.77
02115,1504255.65
02116,617554.56
02117,1193900.3
02118,977606.7999999999
02119,882664.11
02120,1412751.59
02121,579253.9
02122,687988.25
02123,2328349.67
02124,2749317.31
02125,1372925.5
02126,5993264.01
02127,475888.98
