code_insee,annee,type_scrutin,n_unites,mono_liste,closeness,method
51413,2014,individuel,16,0,66.1939,seat_cutoff_model
51413,2020,individuel,15,0,2.2013,seat_cutoff_rne_real
51414,2008,individuel,11,0,15.5556,winner_share_proxy_2008
51414,2014,individuel,16,0,5.8824,seat_cutoff_model
51414,2020,individuel,7,1,,seat_cutoff_rne_real
51415,2008,individuel,11,0,9.4488,winner_share_proxy_2008
51415,2014,individuel,11,1,,seat_cutoff_model
51415,2020,individuel,11,1,,seat_cutoff_rne_real
51416,2008,individuel,15,0,8.2192,winner_share_proxy_2008
51416,2014,individuel,27,0,23.8095,seat_cutoff_model
51416,2020,individuel,25,0,0.0,seat_cutoff_rne_real
51417,2008,individuel,1,1,,winner_share_proxy_2008
51417,2014,individuel,5,1,,seat_cutoff_model
51417,2020,individuel,15,0,1.8987,seat_cutoff_rne_real
51418,2008,individuel,11,0,7.3394,winner_share_proxy_2008
51418,2014,individuel,16,0,29.0043,seat_cutoff_model
51418,2020,individuel,14,0,7.9208,seat_cutoff_rne_real
51419,2008,individuel,3,0,44.2478,winner_share_proxy_2008
51419,2014,individuel,3,1,,seat_cutoff_model
51419,2020,individuel,13,0,2.439,seat_cutoff_rne_real
51420,2008,individuel,4,0,41.3333,winner_share_proxy_2008
51420,2014,individuel,4,1,,seat_cutoff_model
51420,2020,individuel,8,0,0.0,seat_cutoff_rne_real
51421,2008,individuel,9,0,0.0,winner_share_proxy_2008
51421,2014,individuel,2,1,,seat_cutoff_model
51421,2020,individuel,2,1,,seat_cutoff_rne_real
51422,2008,individuel,11,0,19.3878,winner_share_proxy_2008
51422,2014,individuel,13,0,6.3063,seat_cutoff_model
51422,2020,individuel,11,1,,seat_cutoff_rne_real
51424,2008,individuel,11,0,12.4138,winner_share_proxy_2008
51424,2014,individuel,11,1,,seat_cutoff_model
51424,2020,individuel,12,0,26.2136,seat_cutoff_rne_real
51425,2008,individuel,11,0,8.134,winner_share_proxy_2008
51425,2014,individuel,15,0,0.0,seat_cutoff_model
51425,2020,individuel,11,1,,seat_cutoff_rne_real
51426,2008,individuel,2,0,43.75,winner_share_proxy_2008
51426,2014,individuel,10,0,3.2787,seat_cutoff_model
51426,2020,individuel,7,1,,seat_cutoff_rne_real
51428,2008,individuel,2,0,63.587,winner_share_proxy_2008
51428,2014,individuel,14,0,10.917,seat_cutoff_model
51428,2020,individuel,12,0,13.4228,seat_cutoff_rne_real
51429,2008,individuel,11,0,11.2782,winner_share_proxy_2008
51429,2014,individuel,11,1,,seat_cutoff_model
51429,2020,individuel,11,1,,seat_cutoff_rne_real
51430,2008,individuel,11,0,13.2353,winner_share_proxy_2008
